"Pin","Signal Name","Voltage Level"
"Y11","GPIO_0_D[32]","3.3-V LVCMOS"
"AA11","GPIO_0_D[35]","3.3-V LVCMOS"
"AD5","GPIO_0_D[10]","3.3-V LVCMOS"
"AE6","GPIO_0_D[13]","3.3-V LVCMOS"
"AE4","HDMI_TX_D[16]","3.3-V LVCMOS"
"AF4","GPIO_0_D[8]","3.3-V LVCMOS"
"AD10","HDMI_TX_D[5]","3.3-V LVCMOS"
"AE9","HDMI_TX_D[10]","3.3-V LVCMOS"
"T11","HDMI_TX_LRCLK","3.3-V LVCMOS"
"U11","HDMI_TX_MCLK","3.3-V LVCMOS"
"AE7","HDMI_TX_D[12]","3.3-V LVCMOS"
"AF8","HDMI_TX_D[14]","3.3-V LVCMOS"
"AE8","HDMI_TX_D[23]","3.3-V LVCMOS"
"AF9","HDMI_TX_D[22]","3.3-V LVCMOS"
"AD11","HDMI_TX_D[4]","3.3-V LVCMOS"
"AE11","HDMI_TX_D[6]","3.3-V LVCMOS"
"AF5","HDMI_TX_D[15]","3.3-V LVCMOS"
"AF6","HDMI_TX_D[13]","3.3-V LVCMOS"
"AF26","LED[4]","3.3-V LVCMOS"
"AE26","LED[5]","3.3-V LVCMOS"
"AD26","GPIO_1_D[3]","3.3-V LVCMOS"
"Y17","GPIO_0_D[29]","3.3-V LVCMOS"
"Y18","GPIO_0_D[28]","3.3-V LVCMOS"
"AB25","GPIO_0_D[30]","3.3-V LVCMOS"
"AF7","GPIO_0_D[6]","3.3-V LVCMOS"
"AG6","HDMI_TX_D[21]","3.3-V LVCMOS"
"AF11","HDMI_TX_INT","3.3-V LVCMOS"
"AF10","HDMI_TX_D[8]","3.3-V LVCMOS"
"T13","HDMI_I2S0","3.3-V LVCMOS"
"T12","HDMI_I2C_SCLK","3.3-V LVCMOS"
"AH3","GPIO_0_D[9]","3.3-V LVCMOS"
"AH2","HDMI_TX_D[17]","3.3-V LVCMOS"
"AE12","HDMI_TX_D[1]","3.3-V LVCMOS"
"AD12","HDMI_TX_D[0]","3.3-V LVCMOS"
"AH6","HDMI_TX_D[20]","3.3-V LVCMOS"
"AH5","HDMI_TX_D[19]","3.3-V LVCMOS"
"Y16","LED[6]","3.3-V LVCMOS"
"W15","LED[0]","3.3-V LVCMOS"
"AA24","LED[1]","3.3-V LVCMOS"
"AA23","LED[7]","3.3-V LVCMOS"
"V16","LED[2]","3.3-V LVCMOS"
"V15","LED[3]","3.3-V LVCMOS"
"AH7","ARDUINO_RST_N","3.3-V LVCMOS"
"AG8","ARDUINO_IO[6]","3.3-V LVCMOS"
"AG13","ARDUINO_IO[0]","3.3-V LVCMOS"
"AF13","ARDUINO_IO[1]","3.3-V LVCMOS"
"U14","ARDUINO_IO[4]","3.3-V LVCMOS"
"U13","ARDUINO_IO[5]","3.3-V LVCMOS"
"AG9","ARDUINO_IO[3]","3.3-V LVCMOS"
"AH8","ARDUINO_IO[7]","3.3-V LVCMOS"
"AG10","ARDUINO_IO[2]","3.3-V LVCMOS"
"AH9","ARDUINO_IO[14]","3.3-V LVCMOS"
"AF15","ARDUINO_IO[10]","3.3-V LVCMOS"
"AE15","ARDUINO_IO[9]","3.3-V LVCMOS"
"AG11","ARDUINO_IO[15]","3.3-V LVCMOS"
"AH11","ARDUINO_IO[12]","3.3-V LVCMOS"
"AH12","ARDUINO_IO[13]","3.3-V LVCMOS"
"AF17","ARDUINO_IO[8]","3.3-V LVCMOS"
"AG16","ARDUINO_IO[11]","3.3-V LVCMOS"
"W14","GPIO_0_D[27]","3.3-V LVCMOS"
"V13","HDMI_TX_VS","3.3-V LVCMOS"
"AG14","GPIO_0_D[11]","3.3-V LVCMOS"
"AH13","GPIO_0_D[5]","3.3V LVCMOS"
"AG15","GPIO_1_D[32]","3.3-V LVCMOS"
"AH14","GPIO_0_D[7]","3.3-V LVCMOS"
"AD17","GPIO_0_D[19]","3.3-V LVCMOS"
"AE17","GPIO_1_D[35]","3.3-V LVCMOS"
"AH17","KEY[0]","3.3-V LVCMOS"
"AH16","KEY[1]","3.3-V LVCMOS"
"AF18","GPIO_1_D[30]","3.3-V LVCMOS"
"AE19","GPIO_1_D[34]","3.3-V LVCMOS"
"AD19","HDMI_TX_DE","3.3-V LVCMOS"
"AA19","GPIO_0_D[24]","3.3-V LVCMOS"
"AA18","GPIO_0_D[26]","3.3-V LVCMOS"
"AG18","GPIO_1_D[28]","3.3-V LVCMOS"
"AH18","GPIO_1_D[29]","3.3-V LVCMOS"
"AG19","GPIO_1_D[26]","3.3-V LVCMOS"
"AH19","GPIO_1_D[27]","3.3-V LVCMOS"
"AE20","GPIO_1_D[33]","3.3-V LVCMOS"
"AD20","GPIO_0_D[17]","3.3-V LVCMOS"
"AF20","GPIO_1_D[31]","3.3-V LVCMOS"
"AG20","GPIO_1_D[24]","3.3-V LVCMOS"
"AG21","GPIO_1_D[19]","3.3-V LVCMOS"
"AF22","GPIO_1_D[22]","3.3-V LVCMOS"
"AF21","GPIO_1_D[25]","3.3-V LVCMOS"
"AD23","GPIO_0_D[14]","3.3-V LVCMOS"
"AE22","GPIO_1_D[23]","3.3-V LVCMOS"
"AH21","GPIO_1_D[18]","3.3-V LVCMOS"
"AH23","GPIO_1_D[20]","3.3-V LVCMOS"
"AH22","GPIO_1_D[17]","3.3-V LVCMOS"
"AG23","GPIO_1_D[14]","3.3-V LVCMOS"
"AF23","GPIO_1_D[15]","3.3-V LVCMOS"
"AG24","GPIO_1_D[16]","3.3-V LVCMOS"
"AH24","GPIO_1_D[12]","3.3-V LVCMOS"
"AG26","GPIO_1_D[8]","3.3-V LVCMOS"
"AE24","GPIO_0_D[15]","3.3-V LVCMOS"
"AE23","GPIO_0_D[12]","3.3-V LVCMOS"
"AC22","GPIO_0_D[21]","3.3-V LVCMOS"
"AC23","GPIO_0_D[20]","3.3-V LVCMOS"
"AH26","GPIO_1_D[11]","3.3-V LVCMOS"
"AG28","GPIO_1_D[4]","3.3-V LVCMOS"
"AH27","GPIO_1_D[9]","3.3-V LVCMOS"
"AF25","GPIO_1_D[13]","3.3-V LVCMOS"
"AG25","GPIO_1_D[10]","3.3-V LVCMOS"
"AF27","GPIO_1_D[7]","3.3-V LVCMOS"
"AF28","GPIO_1_D[5]","3.3-V LVCMOS"
"V11","FPGA_CLK1_50","3.3-V LVCMOS"
"W11","GPIO_0_D[25]","3.3-V LVCMOS"
"V12","GPIO_0_D[0]","3.3-V LVCMOS"
"W12","GPIO_0_D[2]","3.3-V LVCMOS"
"Y13","FPGA_CLK2_50","3.3-V LVCMOS"
"AA13","GPIO_0_D[34]","3.3-V LVCMOS"
"Y15","GPIO_1_D[0]","3.3-V LVCMOS"
"AA15","GPIO_1_D[2]","3.3-V LVCMOS"
"Y24","SW[0]","3.3-V LVCMOS"
"W24","SW[1]","3.3-V LVCMOS"
"W21","SW[2]","3.3-V LVCMOS"
"W20","SW[3]","3.3-V LVCMOS"
"E11","FPGA_CLK3_50","3.3-V LVCMOS"
"D11","GPIO_0_D[3]","3.3-V LVCMOS"
"D12","GPIO_0_D[16]","3.3-V LVCMOS"
"C12","GPIO_0_D[18]","3.3-V LVCMOS"
"AG5","HDMI_TX_CLK","3.3-V LVCMOS"
"AH4","HDMI_TX_D[18]","3.3-V LVCMOS"
"AB26","GPIO_0_D[31]","3.3-V LVCMOS"
"AA26","GPIO_0_D[33]","3.3-V LVCMOS"
"E8","GPIO_0_D[1]","3.3-V LVCMOS"
"D8","GPIO_0_D[4]","3.3-V LVCMOS"
"Y4","HDMI_TX_D[9]","3.3-V LVCMOS"
"Y8","HDMI_TX_D[3]","3.3-V LVCMOS"
"Y5","HDMI_TX_D[7]","3.3-V LVCMOS"
"W8","HDMI_TX_D[2]","3.3-V LVCMOS"
"AB4","HDMI_TX_D[11]","3.3-V LVCMOS"
"T4","HDMI_TX_HS","3.3-V LVCMOS"
"AA4","HDMI_I2C_SDA","3.3-V LVCMOS"
"U9","ADC_CONV","3.3-V LVCMOS"
"AD4","ADC_SDO","3.3-V LVCMOS"
"V10","ADC_SCK","3.3-V LVCMOS"
"AC4","ADC_SDI","3.3-V LVCMOS"
"U10","HDMI_I2C_SCL","3.3-V LVCMOS"
"AA20","GPIO_1_D[21]","3.3-V LVCMOS"
"AC24","GPIO_1_D[1]","3.3-V LVCMOS"
"AB23","GPIO_0_D[23]","3.3-V LVCMOS"
"Y19","GPIO_0_D[22]","3.3-V LVCMOS"
"AE25","GPIO_0_D[6]","3.3-V LVCMOS"
